adl-frontend,0.1-beta-1,org.objectweb.fractal.mind.compiler,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.mind.compiler&a=adl-frontend&v=0.1-beta-1&e=pom, ,
adl-parser,0.1-beta-1,org.objectweb.fractal.mind.compiler,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.mind.compiler&a=adl-parser&v=0.1-beta-1&e=pom, ,
adl-backend,0.1-beta-2,org.objectweb.fractal.mind.compiler,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.mind.compiler&a=adl-backend&v=0.1-beta-2&e=pom, ,
adl-frontend,0.1-beta-2,org.objectweb.fractal.mind.compiler,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.mind.compiler&a=adl-frontend&v=0.1-beta-2&e=pom, ,
adl-parser,0.1-beta-2,org.objectweb.fractal.mind.compiler,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.mind.compiler&a=adl-parser&v=0.1-beta-2&e=pom, ,
adl-backend,0.1-beta-3,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.1-beta-3&e=pom, ,
adl-frontend,0.1-beta-3,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.1-beta-3&e=pom, ,
adl-parser,0.1-beta-3,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.1-beta-3&e=pom, ,
adl-backend,0.1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.1&e=pom, ,
adl-frontend,0.1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.1&e=pom, ,
adl-parser,0.1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.1&e=pom, ,
adl-backend,0.2-alpha-1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.2-alpha-1&e=pom, ,
adl-frontend,0.2-alpha-1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.2-alpha-1&e=pom, ,
adl-parser,0.2-alpha-1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.2-alpha-1&e=pom, ,
adl-backend,0.2-alpha-2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.2-alpha-2&e=pom, ,
adl-backend,0.2-beta-1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.2-beta-1&e=pom, ,
adl-frontend,0.2-alpha-2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.2-alpha-2&e=pom, ,
adl-frontend,0.2-beta-1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.2-beta-1&e=pom, ,
adl-parser,0.2-alpha-2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.2-alpha-2&e=pom, ,
adl-parser,0.2-beta-1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.2-beta-1&e=pom, ,
adl-backend,0.2-beta-2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.2-beta-2&e=pom, ,
adl-frontend,0.2-beta-2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.2-beta-2&e=pom, ,
